"id","chunk","chunk_id","document_ids","n_tokens"
"af02da68051b407a774989332a162982","""ACTIVE/85167570.2
SERVICES AGREEMENT
This Services Agreement (this “Agreement”) is made as of 28 Nov 2023 (the “Effective Date”) by and between Tech
Innovations Pvt. Ltd, with an address located at India (“Contractor”), and Tech Park Avenue, Inc., with a business
address located at USA (Company).
BACKGROUND
Contractor is a software developer. Company desires to retain Contractor as an independent contractor to perform certain
software development services for Company and Contractor is willing to perform such services for Company. In
consideration of the mutual covenants and agreements set forth herein, the parties hereby agree as follows:
1. Definitions. As used in this Agreement, the following terms, whether used in the singular or plural, shall have the
following meanings:
1.1 “Deliverables” means any work product, including any work-in-process, described in any Statement.
1.2 “Intellectual Property” means inventions, works of authorship, designs, know-how, ideas, information and other
technology and intellectual property, plus all rights (including patent rights, copyrights, trade secret rights and all
other intellectual property rights) in and to the foregoing.
1.3 “Services” means any service described in any Statement.
1.4 “Statement” or “Statement of Work” means any Statement of Work that (a) references this Agreement, (b) is
signed by authorized representatives of""","af02da68051b407a774989332a162982",['9638bfa363628b4c1ca51263218a84b4'],300
"cecfda346bdac8e9232a912d20fd8b94","""means inventions, works of authorship, designs, know-how, ideas, information and other
technology and intellectual property, plus all rights (including patent rights, copyrights, trade secret rights and all
other intellectual property rights) in and to the foregoing.
1.3 “Services” means any service described in any Statement.
1.4 “Statement” or “Statement of Work” means any Statement of Work that (a) references this Agreement, (b) is
signed by authorized representatives of both parties and (c) sets forth, at a minimum, the services to be
performed by Contractor and the fees for such services.
2. Scope; Schedule.
2.1 Services. Contractor will perform the Services and deliver the Deliverables described in any Statement of Work.
The initial Statement of Work is attached as Statement No. 1. Contractor agrees to perform the Services and
complete the Deliverables in accordance with the schedule set forth in the applicable Statement of Work.
Contractor will not subcontract any Services to external organizations without Company’s prior written consent
(which may be by email) and Company may disapprove a sub-contractor in it’s reasonable discretion. Any
external organizations to which the Contractor subcontracts Services are hereby referred to as sub-contractors.
All of Contractor’s permitted sub-contractors shall be bound by the provisions of this Agreement as if each were
Contractor hereunder, and Contractor shall be responsible for all acts and omissions of each such sub""","cecfda346bdac8e9232a912d20fd8b94",['9638bfa363628b4c1ca51263218a84b4'],300
"e7a17066064b2a2003f09ecc3c269f9e","""not subcontract any Services to external organizations without Company’s prior written consent
(which may be by email) and Company may disapprove a sub-contractor in it’s reasonable discretion. Any
external organizations to which the Contractor subcontracts Services are hereby referred to as sub-contractors.
All of Contractor’s permitted sub-contractors shall be bound by the provisions of this Agreement as if each were
Contractor hereunder, and Contractor shall be responsible for all acts and omissions of each such sub-contractor.
However, Contractor is allowed to engage individuals classified as consultants or contractors for tax purposes
within the Contractor's organization, for whom no prior consent from the Company is required. Contractor’s
individual consultants or contractors shall be bound by the provisions of this Agreement as if each were an
employee of the Contractor. Contractor’s individual consultants or contractors shall be deemed its “personnel” for
purposes hereof, and Contractor shall be responsible for all acts and omissions of each such individual consultant
or contractor. Contractor, its personnel and its sub-contractors shall observe at all times the security and safety
policies of Company and/or its customers.
2.2 Changes. Company may at any time request changes in specifications for time or place of delivery, or require
additional or diminished work. If any such change causes an increase or decrease in the cost of, or the time
required for, performance of the Services, these can be mutually agreed and then an equitable adjustment will""","e7a17066064b2a2003f09ecc3c269f9e",['9638bfa363628b4c1ca51263218a84b4'],300
"074d8bc13c7cff5ee897c3eca3e30693","""consultant
or contractor. Contractor, its personnel and its sub-contractors shall observe at all times the security and safety
policies of Company and/or its customers.
2.2 Changes. Company may at any time request changes in specifications for time or place of delivery, or require
additional or diminished work. If any such change causes an increase or decrease in the cost of, or the time
required for, performance of the Services, these can be mutually agreed and then an equitable adjustment will be
made in the contract price or schedule or both, and the applicable Statement will be modified accordingly in
writing.
3. Acceptance. Company will review the Services and the Deliverables for acceptability as to form and content.
Company will conduct acceptance testing to determine whether the Deliverables meet the requirements and/or
perform the functions required under the applicable Statement of Work. Contractor will provide any procedures,
materials and technical assistance reasonably necessary and take all actions required to enable Company to
review and test the Deliverables. Contractor will, without additional compensation, work diligently to correct any
defects and/or deficiencies in the Deliverables that may be discovered during acceptance testing and to resubmit
the Deliverable within a reasonable time for continued acceptance testing, provided that after the second or any
subsequent rejection or if the corrections are not made within thirty (30) days of the subsequent rejection,
2
Company may terminate the applicable Statement of Work upon fifteen (15) days notice, subject""","074d8bc13c7cff5ee897c3eca3e30693",['9638bfa363628b4c1ca51263218a84b4'],300
"f74af18f0023e1c5abc424734f082003","""the Deliverables. Contractor will, without additional compensation, work diligently to correct any
defects and/or deficiencies in the Deliverables that may be discovered during acceptance testing and to resubmit
the Deliverable within a reasonable time for continued acceptance testing, provided that after the second or any
subsequent rejection or if the corrections are not made within thirty (30) days of the subsequent rejection,
2
Company may terminate the applicable Statement of Work upon fifteen (15) days notice, subject to lack of
acceptance during the notice period.
4. Compensation. Company agrees to pay Contractor for the Services in accordance with the applicable
Statement of Work. Unless otherwise agreed in writing, after acceptance of the applicable Deliverables by
Company, Contractor will invoice Company upon any balance amounts becoming due and payable pursuant to
the applicable Statement and Company shall pay all undisputed invoices within thirty (30) days of receipt.
Contractor acknowledges and agrees that it is Contractor’s responsibility to compensate Contractor’s personnel
(including its permitted sub-contractors), and pay all related taxes, and Contractor will indemnify Company and
hold Company harmless to the extent of any obligation imposed by law on Company to pay any such amounts in
connection with any payments made by Company to Contractor under this Agreement on account of Contractor’s
personnel (including its permitted sub-contractors).
5. Intellectual Property.
5.1 Intellectual Property. Company shall own, subject to full payment of undisputed amounts for the""","f74af18f0023e1c5abc424734f082003",['9638bfa363628b4c1ca51263218a84b4'],300
"d3be9092a42bc9d927636522ec06973f","""personnel
(including its permitted sub-contractors), and pay all related taxes, and Contractor will indemnify Company and
hold Company harmless to the extent of any obligation imposed by law on Company to pay any such amounts in
connection with any payments made by Company to Contractor under this Agreement on account of Contractor’s
personnel (including its permitted sub-contractors).
5. Intellectual Property.
5.1 Intellectual Property. Company shall own, subject to full payment of undisputed amounts for the applicable
Deliverable, all right, title and interest in and to any and all Intellectual Property made or conceived or reduced to
practice, in whole or in part, by or for or on behalf of Contractor (including by any of its sub-contractors or other
personnel) during the term of this Agreement that relates to the subject matter of and arises out of or in
connection with the Services, Deliverables or any Confidential Information (as defined below) (collectively, “Newly
Developed IP”) and Contractor will promptly disclose and provide all Newly Developed IP to Company. To
accomplish the foregoing ownership, Contractor hereby perpetually, irrevocably and without any encumbrance,
limitation or restriction assigns all right, title and interest in the Inventions to Company, and agrees that (i) such
assignment is not limited in territory or duration, (ii) the failure of Company to exercise any right assigned to it
hereunder within""","d3be9092a42bc9d927636522ec06973f",['9638bfa363628b4c1ca51263218a84b4'],300
"5535b05bf384b9ecfba910725e6518e4","""Newly
Developed IP”) and Contractor will promptly disclose and provide all Newly Developed IP to Company. To
accomplish the foregoing ownership, Contractor hereby perpetually, irrevocably and without any encumbrance,
limitation or restriction assigns all right, title and interest in the Inventions to Company, and agrees that (i) such
assignment is not limited in territory or duration, (ii) the failure of Company to exercise any right assigned to it
hereunder within a period of one year from the date hereof will not cause such assignment to lapse, and (iii) in the
event that Contractor has any rights subsisting in, relating to or used in connection with the Newly Developed IP
that cannot be assigned to Company, including any “moral rights”, Contractor hereby irrevocably, unconditionally
and without any further compensation waives the enforcement of all such rights, and all claims and causes of
action of any kind with respect to any of the foregoing. Contractor hereby irrevocably designates and appoints
Company as its agents and attorneys-in-fact, coupled with an interest, to act for and on Contractor’s behalf to
execute and file any document and to do all other lawfully permitted acts to further the foregoing with the same
legal force and effect as if executed by Contractor and all other creators or owners of the applicable Newly
Developed IP.
5.2 Waiver. To the extent allowed by law,""","5535b05bf384b9ecfba910725e6518e4",['9638bfa363628b4c1ca51263218a84b4'],300
"ce810a02fd6124b31ca2183c6b7bd4b6","""of the foregoing. Contractor hereby irrevocably designates and appoints
Company as its agents and attorneys-in-fact, coupled with an interest, to act for and on Contractor’s behalf to
execute and file any document and to do all other lawfully permitted acts to further the foregoing with the same
legal force and effect as if executed by Contractor and all other creators or owners of the applicable Newly
Developed IP.
5.2 Waiver. To the extent allowed by law, Section 5.1 and any license granted Company hereunder includes all rights
of paternity, integrity, disclosure and withdrawal and any other rights that may be known as or referred to as
“moral rights,” “artist’s rights,” “adroit moral,” or the like. To the extent any of the foregoing is ineffective under
applicable law, Contractor hereby provides any and all ratifications and consents necessary to accomplish the
purposes of the foregoing to the extent possible. Contractor will confirm any such ratifications and consents from
time to time as requested by Company. Contractor will obtain the foregoing ratifications, consents and
authorizations from its personnel for Company’s exclusive benefit.
5.3 Third Party IP and Contractor IP. Contractor shall not incorporate into any Deliverables any Intellectual Property
of any third party without Company’s prior written consent (such approved third party Intellectual Property,
“Approved Third Party IP”) or any Intellectual Property owned by or licensed to Contractor that is""","ce810a02fd6124b31ca2183c6b7bd4b6",['9638bfa363628b4c1ca51263218a84b4'],300
"a05f1c3b26d22d47e76e16edefe118fc","""will confirm any such ratifications and consents from
time to time as requested by Company. Contractor will obtain the foregoing ratifications, consents and
authorizations from its personnel for Company’s exclusive benefit.
5.3 Third Party IP and Contractor IP. Contractor shall not incorporate into any Deliverables any Intellectual Property
of any third party without Company’s prior written consent (such approved third party Intellectual Property,
“Approved Third Party IP”) or any Intellectual Property owned by or licensed to Contractor that is not assigned
hereunder (“Contractor IP”) without Company’s prior written consent. However, Contractor can use IP that is open
source in accordance with Company’s standard open source software policy (which may include prior approval of
any copyleft or other non-permissively licensed open source software and notification to the Company of any
permissively licensed open source software). If any part of the Services or Deliverables is based on, incorporates,
or is an improvement or derivative of, or cannot be reasonably and fully made, used, reproduced, distributed and
otherwise exploited without using or violating Contractor IP, Contractor, subject to full payment of undisputed
amounts for the applicable Deliverable, hereby grants Company and its successors a perpetual, irrevocable,
worldwide, royalty-free, non-exclusive, sublicensable (through multiple tiers) right and license to use, modify,
distribute and otherwise fully exploit and exercise all such Contractor IP in connection with the Deliverables
(including""","a05f1c3b26d22d47e76e16edefe118fc",['9638bfa363628b4c1ca51263218a84b4'],300
"8b2c4dc1f5b8fa2f52a6b505f77bb4ff","""be reasonably and fully made, used, reproduced, distributed and
otherwise exploited without using or violating Contractor IP, Contractor, subject to full payment of undisputed
amounts for the applicable Deliverable, hereby grants Company and its successors a perpetual, irrevocable,
worldwide, royalty-free, non-exclusive, sublicensable (through multiple tiers) right and license to use, modify,
distribute and otherwise fully exploit and exercise all such Contractor IP in connection with the Deliverables
(including any modifications, improvements and derivatives thereof) or otherwise in support of Company’s receipt
of the Services. Contractor’s IP may include elements of permissive open source (such as MIT, Apache, ISC,
BSD2, BSD3) or other licenses, which can be appropriately licensed to the Company in accordance with the
assignment conditions specified earlier, and is permissible under this Agreement so long as Contractor complies
with Company’s standard open source software policy. Contractor IP continues to remain the Contractor’s IP even
3
after assignment of Newly Developed IP is made to Company. This license is, for purposes of Section 365(n) of
the Bankruptcy Code, a license of rights to “intellectual property” as defined in the Bankruptcy Code.
6. Warranties; Indemnity.
6.1 Contractor represents, warrants and covenants to Company that: (a) the Services and Deliverables provided
hereunder shall be provided in a professional and workmanlike""","8b2c4dc1f5b8fa2f52a6b505f77bb4ff",['9638bfa363628b4c1ca51263218a84b4'],300
